                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 0.0589,                0.14171,                0.95021,                      1,                      1,                  0.995,                0.96759,                 0.1025,                0.19268,                0.87127,             0.00010286,             0.00010286,             0.00010286
                    108,                 0.0574,                0.14054,                0.94664,                      1,                      1,                  0.995,                0.97591,                0.10393,                0.18231,                0.86162,             9.8766e-05,             9.8766e-05,             9.8766e-05
                    109,                 0.0591,                0.13962,                0.95019,                      1,                      1,                  0.995,                0.96764,                0.10684,                0.18088,                0.86151,             9.4738e-05,             9.4738e-05,             9.4738e-05
                    110,                0.05959,                0.14103,                0.94757,                      1,                      1,                  0.995,                0.98267,                0.08914,                0.18286,                0.84957,             9.0778e-05,             9.0778e-05,             9.0778e-05
                    111,                0.05785,                0.13808,                0.94935,                      1,                      1,                  0.995,                0.98078,                0.08599,                 0.1782,                 0.8415,              8.689e-05,              8.689e-05,              8.689e-05
                    112,                0.05742,                0.13552,                0.94281,                      1,                      1,                  0.995,                0.96562,                0.10896,                0.17293,                0.85262,             8.3075e-05,             8.3075e-05,             8.3075e-05
                    113,                 0.0581,                0.13638,                0.94062,                      1,                      1,                  0.995,                0.97025,                0.10866,                0.17282,                0.84917,             7.9333e-05,             7.9333e-05,             7.9333e-05
                    114,                 0.0586,                0.13641,                0.93417,                      1,                      1,                  0.995,                0.97011,                0.10202,                0.17393,                0.84351,             7.5668e-05,             7.5668e-05,             7.5668e-05
                    115,                0.05843,                0.13603,                0.94083,                      1,                      1,                  0.995,                0.97278,                0.10318,                0.18152,                0.84916,              7.208e-05,              7.208e-05,              7.208e-05
                    116,                0.05706,                0.13334,                0.93823,                      1,                      1,                  0.995,                0.96963,                0.11281,                0.18343,                0.85807,             6.8572e-05,             6.8572e-05,             6.8572e-05
                    117,                0.05661,                0.13328,                0.93667,                      1,                      1,                  0.995,                0.96864,                0.11326,                0.17977,                0.86192,             6.5144e-05,             6.5144e-05,             6.5144e-05
                    118,                0.05947,                 0.1341,                0.93028,                      1,                      1,                  0.995,                 0.9786,                0.10168,                0.17879,                0.85136,             6.1798e-05,             6.1798e-05,             6.1798e-05
                    119,                0.05916,                0.13261,                0.94172,                      1,                      1,                  0.995,                0.97926,                 0.0985,                0.17475,                0.84353,             5.8536e-05,             5.8536e-05,             5.8536e-05
                    120,                0.06006,                  0.134,                0.93446,                      1,                      1,                  0.995,                0.97846,                0.10068,                0.17484,                0.83767,             5.5359e-05,             5.5359e-05,             5.5359e-05
                    121,                0.05742,                0.13084,                 0.9374,                      1,                      1,                  0.995,                0.97632,                0.10777,                 0.1744,                0.84069,             5.2268e-05,             5.2268e-05,             5.2268e-05
                    122,                0.05762,                0.13012,                0.93412,                      1,                      1,                  0.995,                0.97779,                0.10115,                0.17219,                 0.8375,             4.9266e-05,             4.9266e-05,             4.9266e-05
                    123,                0.06031,                0.13288,                0.93363,                      1,                      1,                  0.995,                0.97703,                0.10383,                0.17246,                0.83984,             4.6352e-05,             4.6352e-05,             4.6352e-05
                    124,                0.06055,                0.13167,                0.93449,                      1,                      1,                  0.995,                0.97882,                0.09977,                  0.175,                 0.8377,             4.3529e-05,             4.3529e-05,             4.3529e-05
                    125,                0.05866,                0.12997,                0.92921,                      1,                      1,                  0.995,                0.97995,                 0.1037,                0.17264,                 0.8375,             4.0797e-05,             4.0797e-05,             4.0797e-05
                    126,                0.06029,                0.12948,                 0.9341,                      1,                      1,                  0.995,                0.97775,                0.10074,                0.16847,                0.83287,             3.8159e-05,             3.8159e-05,             3.8159e-05
                    127,                0.05929,                0.12764,                0.93026,                      1,                      1,                  0.995,                0.97774,                0.10935,                0.17003,                0.83686,             3.5614e-05,             3.5614e-05,             3.5614e-05
                    128,                0.05997,                0.12745,                0.93121,                      1,                      1,                  0.995,                0.97814,                0.10758,                0.16852,                0.83585,             3.3165e-05,             3.3165e-05,             3.3165e-05
                    129,                0.06109,                0.12861,                0.93117,                      1,                      1,                  0.995,                0.97597,                0.11426,                0.16991,                 0.8396,             3.0811e-05,             3.0811e-05,             3.0811e-05
                    130,                0.05994,                0.12661,                0.93113,                      1,                      1,                  0.995,                0.97497,                0.11818,                0.17279,                0.83892,             2.8555e-05,             2.8555e-05,             2.8555e-05
                    131,                0.05975,                0.12597,                0.92535,                      1,                      1,                  0.995,                0.97758,                0.11177,                0.17167,                0.83475,             2.6397e-05,             2.6397e-05,             2.6397e-05
