                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.48121,                0.23803,                0.77621,                0.99951,                      1,                  0.995,                0.90383,                0.50378,                0.25586,                 0.7392,             0.00028123,             0.00028123,             0.00028123
                    127,                0.47925,                 0.2345,                0.77659,                0.99952,                      1,                  0.995,                0.90411,                0.50269,                0.25479,                0.73919,             0.00027837,             0.00027837,             0.00027837
                    128,                0.47318,                0.23205,                0.77581,                0.99952,                      1,                  0.995,                0.90442,                0.50158,                0.25476,                0.73908,             0.00027551,             0.00027551,             0.00027551
                    129,                0.47578,                0.23304,                0.77819,                0.99952,                      1,                  0.995,                0.90513,                0.49976,                0.25422,                0.73894,             0.00027264,             0.00027264,             0.00027264
                    130,                 0.4657,                0.23059,                0.77552,                0.99953,                      1,                  0.995,                0.90533,                0.49977,                0.25336,                0.73884,             0.00026976,             0.00026976,             0.00026976
                    131,                0.47179,                0.23314,                0.77584,                0.99953,                      1,                  0.995,                0.90539,                0.49917,                0.25317,                 0.7387,             0.00026689,             0.00026689,             0.00026689
                    132,                0.45312,                0.22624,                0.77478,                0.99952,                      1,                  0.995,                0.90505,                0.49825,                0.25264,                0.73853,             0.00026402,             0.00026402,             0.00026402
                    133,                0.46292,                0.22938,                0.77563,                0.99952,                      1,                  0.995,                0.90558,                0.49732,                0.25207,                0.73843,             0.00026114,             0.00026114,             0.00026114
                    134,                0.47268,                0.22999,                0.77523,                0.99953,                      1,                  0.995,                0.90592,                0.49625,                 0.2513,                0.73832,             0.00025826,             0.00025826,             0.00025826
                    135,                0.45147,                0.22574,                0.77548,                0.99953,                      1,                  0.995,                0.90675,                 0.4957,                0.25074,                0.73819,             0.00025538,             0.00025538,             0.00025538
                    136,                0.45382,                0.22283,                 0.7755,                0.99953,                      1,                  0.995,                0.90736,                0.49533,                0.24978,                0.73812,              0.0002525,              0.0002525,              0.0002525
                    137,                0.46284,                0.22634,                 0.7757,                0.99953,                      1,                  0.995,                0.90819,                0.49364,                 0.2494,                0.73803,             0.00024962,             0.00024962,             0.00024962
                    138,                0.45514,                 0.2243,                0.77495,                 0.9996,                      1,                  0.995,                0.90847,                 0.4922,                0.24892,                0.73791,             0.00024674,             0.00024674,             0.00024674
                    139,                0.45317,                0.22283,                0.77589,                0.99954,                      1,                  0.995,                0.90847,                0.49233,                0.24833,                0.73784,             0.00024386,             0.00024386,             0.00024386
                    140,                0.45151,                0.22271,                 0.7754,                 0.9996,                      1,                  0.995,                0.90855,                 0.4912,                0.24786,                0.73771,             0.00024098,             0.00024098,             0.00024098
                    141,                0.43572,                0.22031,                0.77436,                0.99959,                      1,                  0.995,                0.90866,                0.49024,                0.24716,                0.73758,             0.00023811,             0.00023811,             0.00023811
                    142,                0.44445,                0.21911,                0.77375,                0.99956,                      1,                  0.995,                0.90933,                0.48887,                0.24678,                0.73754,             0.00023524,             0.00023524,             0.00023524
                    143,                0.43979,                0.21861,                0.77362,                0.99955,                      1,                  0.995,                0.90951,                0.48714,                0.24567,                0.73742,             0.00023236,             0.00023236,             0.00023236
                    144,                0.44753,                0.21996,                0.77339,                0.99955,                      1,                  0.995,                0.91018,                0.48679,                0.24615,                 0.7373,             0.00022949,             0.00022949,             0.00022949
                    145,                0.43544,                 0.2171,                0.77315,                0.99955,                      1,                  0.995,                0.90995,                0.48557,                0.24577,                0.73725,             0.00022663,             0.00022663,             0.00022663
                    146,                 0.4402,                0.21822,                0.77386,                0.99955,                      1,                  0.995,                 0.9109,                0.48398,                0.24574,                0.73711,             0.00022377,             0.00022377,             0.00022377
                    147,                0.44244,                0.21931,                0.77408,                0.99955,                      1,                  0.995,                0.91042,                0.48321,                0.24508,                  0.737,             0.00022091,             0.00022091,             0.00022091
                    148,                0.43594,                0.21645,                0.77375,                0.99955,                      1,                  0.995,                 0.9109,                0.48344,                 0.2454,                0.73688,             0.00021805,             0.00021805,             0.00021805
                    149,                0.42881,                0.21299,                0.77313,                0.99956,                      1,                  0.995,                0.91075,                0.48301,                0.24516,                0.73677,             0.00021521,             0.00021521,             0.00021521
                    150,                0.44102,                 0.2166,                0.77352,                0.99956,                      1,                  0.995,                0.91128,                0.48089,                0.24466,                0.73666,             0.00021236,             0.00021236,             0.00021236
                    151,                0.42506,                0.21171,                0.77252,                0.99956,                      1,                  0.995,                0.91111,                0.47995,                0.24449,                0.73654,             0.00020952,             0.00020952,             0.00020952
                    152,                0.41823,                0.21038,                0.77222,                0.99955,                      1,                  0.995,                 0.9111,                0.48019,                 0.2443,                0.73645,             0.00020669,             0.00020669,             0.00020669
                    153,                0.43954,                0.21383,                0.77132,                0.99955,                      1,                  0.995,                0.91181,                0.47893,                0.24358,                0.73637,             0.00020386,             0.00020386,             0.00020386
                    154,                 0.4266,                0.21013,                0.77229,                0.99955,                      1,                  0.995,                0.91227,                0.47764,                0.24343,                0.73632,             0.00020104,             0.00020104,             0.00020104
                    155,                0.42824,                0.21081,                0.77315,                0.99955,                      1,                  0.995,                 0.9133,                0.47558,                 0.2426,                 0.7362,             0.00019823,             0.00019823,             0.00019823
                    156,                0.41626,                0.20764,                 0.7717,                0.99954,                      1,                  0.995,                0.91401,                 0.4746,                0.24246,                0.73612,             0.00019542,             0.00019542,             0.00019542
