                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.51602,                0.29696,                 0.9768,                0.98731,                0.97784,                0.98954,                 0.9008,                0.43564,                0.24728,                0.90633,             0.00023696,             0.00023696,             0.00023696
                    106,                0.50963,                0.29392,                0.97673,                0.98774,                0.97778,                0.98955,                  0.901,                0.43477,                0.24688,                0.90544,             0.00023308,             0.00023308,             0.00023308
                    107,                0.51236,                0.29472,                0.97738,                0.98799,                0.97792,                0.98955,                0.90116,                0.43419,                0.24602,                0.90493,             0.00022921,             0.00022921,             0.00022921
                    108,                0.50644,                0.29243,                0.97515,                0.98812,                  0.978,                0.98955,                0.90154,                0.43408,                0.24509,                0.90444,             0.00022534,             0.00022534,             0.00022534
                    109,                0.50144,                0.29089,                0.97196,                0.98828,                0.97785,                0.98956,                0.90282,                0.43399,                0.24429,                0.90393,             0.00022148,             0.00022148,             0.00022148
                    110,                0.50424,                0.29083,                0.97501,                0.98978,                0.98312,                0.98943,                0.90356,                0.43352,                  0.244,                0.90355,             0.00021763,             0.00021763,             0.00021763
                    111,                0.50146,                0.28959,                0.97229,                0.98984,                0.98273,                0.98952,                0.90438,                 0.4333,                0.24359,                 0.9031,             0.00021378,             0.00021378,             0.00021378
                    112,                0.50185,                0.28926,                0.97109,                0.98977,                0.98284,                0.98962,                0.90459,                0.43289,                  0.243,                 0.9027,             0.00020995,             0.00020995,             0.00020995
                    113,                0.49881,                0.28691,                0.96716,                0.98993,                0.98283,                0.98961,                0.90482,                0.43274,                0.24287,                0.90219,             0.00020612,             0.00020612,             0.00020612
                    114,                0.49589,                0.28649,                0.96591,                0.99009,                0.98141,                0.98966,                0.90556,                0.43209,                 0.2426,                0.90175,             0.00020231,             0.00020231,             0.00020231
                    115,                0.49304,                0.28517,                0.96594,                0.98987,                0.98156,                0.98971,                0.90842,                0.43134,                0.24217,                0.90095,             0.00019851,             0.00019851,             0.00019851
                    116,                0.49356,                0.28462,                0.96488,                0.99048,                0.98159,                0.98974,                0.90777,                0.43038,                0.24111,                0.90006,             0.00019472,             0.00019472,             0.00019472
                    117,                0.49396,                0.28325,                0.96187,                0.99118,                0.98154,                0.98979,                0.90791,                0.42923,                0.24028,                0.89906,             0.00019095,             0.00019095,             0.00019095
                    118,                0.49246,                0.28313,                0.96159,                0.99023,                0.97677,                0.98982,                0.90751,                0.42833,                0.23955,                0.89831,             0.00018719,             0.00018719,             0.00018719
                    119,                0.48676,                 0.2811,                0.95893,                0.98998,                0.97652,                0.98981,                0.90779,                0.42762,                0.23903,                0.89773,             0.00018345,             0.00018345,             0.00018345
                    120,                0.48453,                0.27964,                0.95879,                0.99002,                0.97651,                0.99025,                0.90861,                0.42666,                0.23833,                0.89707,             0.00017973,             0.00017973,             0.00017973
                    121,                0.48736,                0.28109,                 0.9574,                0.99242,                0.97807,                0.99033,                0.90864,                0.42615,                  0.238,                0.89636,             0.00017602,             0.00017602,             0.00017602
