                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.17227,                0.03738,                0.03231,                0.17333,                 1.2074,                0.99954,                      1,                  0.995,                0.95106,                0.99954,                      1,                  0.995,                0.99467,                0.22799,                0.04145,                0.00038,                0.18584,                 1.1365,             8.3871e-05,             8.3871e-05,             8.3871e-05
                     75,                0.17938,                0.03991,                0.03798,                0.17601,                 1.2017,                0.99964,                      1,                  0.995,                0.95163,                0.99964,                      1,                  0.995,                0.99451,                0.22875,                0.04154,                0.00039,                0.18577,                 1.1353,             8.3454e-05,             8.3454e-05,             8.3454e-05
                     76,                0.18624,                0.03777,                0.03355,                0.17728,                 1.2117,                0.99974,                      1,                  0.995,                0.95003,                0.99974,                      1,                  0.995,                0.99463,                0.23586,                 0.0416,                0.00037,                0.18767,                 1.1363,             8.3032e-05,             8.3032e-05,             8.3032e-05
                     77,                0.17909,                0.03883,                0.03706,                0.17259,                 1.2076,                0.99977,                      1,                  0.995,                0.94979,                0.99977,                      1,                  0.995,                0.99462,                 0.2404,                0.04168,                0.00037,                0.18694,                 1.1365,             8.2607e-05,             8.2607e-05,             8.2607e-05
                     78,                0.18644,                0.04081,                0.03875,                0.17555,                 1.2029,                0.99975,                      1,                  0.995,                0.94923,                0.99975,                      1,                  0.995,                0.99449,                0.24416,                0.04171,                0.00037,                 0.1872,                 1.1367,             8.2177e-05,             8.2177e-05,             8.2177e-05
                     79,                0.18877,                0.03872,                0.03346,                0.17517,                 1.2083,                0.99975,                      1,                  0.995,                0.94929,                0.99975,                      1,                  0.995,                0.99447,                 0.2438,                0.04176,                0.00038,                0.18646,                 1.1352,             8.1744e-05,             8.1744e-05,             8.1744e-05
                     80,                0.19872,                0.04192,                0.03802,                0.17687,                 1.2113,                0.99974,                      1,                  0.995,                 0.9511,                0.99974,                      1,                  0.995,                0.99448,                0.24246,                0.04174,                0.00038,                0.18498,                 1.1339,             8.1306e-05,             8.1306e-05,             8.1306e-05
                     81,                0.19497,                 0.0391,                0.03755,                0.17602,                 1.2049,                0.99973,                      1,                  0.995,                0.94977,                0.99973,                      1,                  0.995,                0.99449,                0.24756,                0.04178,                0.00039,                0.18464,                 1.1346,             8.0865e-05,             8.0865e-05,             8.0865e-05
                     82,                0.19798,                0.03807,                0.03421,                0.17723,                 1.2019,                0.99976,                      1,                  0.995,                0.95038,                0.99976,                      1,                  0.995,                0.99466,                0.24882,                 0.0418,                 0.0004,                0.18426,                 1.1341,              8.042e-05,              8.042e-05,              8.042e-05
                     83,                0.19247,                0.03856,                0.03487,                 0.1751,                 1.2005,                0.99978,                      1,                  0.995,                 0.9511,                0.99978,                      1,                  0.995,                0.99468,                0.24866,                0.04197,                0.00039,                0.18381,                  1.133,             7.9971e-05,             7.9971e-05,             7.9971e-05
                     84,                0.20125,                0.04104,                0.03567,                0.17592,                 1.1974,                0.99978,                      1,                  0.995,                0.95082,                0.99978,                      1,                  0.995,                0.99451,                0.25233,                0.04201,                0.00039,                0.18394,                 1.1333,             7.9518e-05,             7.9518e-05,             7.9518e-05
